feature,importance
total_elevation_gain_m,0.5872983
max_grade_pct,0.16897547
total_elevation_loss_m,0.04673682
sinuosity,0.027705789
avg_grade,0.027164672
elevation_range_m,0.02411713
turn_count,0.0222725
elevation_per_km,0.018866666
distance_km,0.017773207
pct_steep_uphill,0.008991504
pct_segments_steep_gt_10,0.007525039
pct_segments_steep_gt_15,0.0072065443
total_distance_m,0.006783975
climb_rate_m_per_km,0.005069794
grade_range,0.0031576606
steep_ratio,0.0030524272
turn_max_deg,0.0030397133
min_grade_pct,0.0023951305
turns_deg_per_km,0.0016488667
descent_rate_m_per_km,0.0016095085
turn_std_deg,0.0012560628
pct_sharp_turns,0.001157178
surface_unpaved_pct,0.0011101561
turn_mean_deg,0.0011000362
surface_difficulty,0.0010629466
surface_ground_pct,0.00074391277
num_sharp_turns,0.0007349822
technical_index,0.0006368811
surface_dirt_pct,0.00045949678
pct_steep_downhill,0.00034765684
